Date;Rating;Content;Auteur;ResponseMonoprix
2020-07-20 00:00:00;1;Bonjour,Suite à mon achat, j'ai achetée un pack d'eau de la marque source des pins, en deballant le pack de 6 bouteilles, surprise j'ai trouvée une bouteille vide.Bizarre apparement on contrôle pas les produits au monoprix.Décevant.;Isabelle Roux;False
2020-07-16 00:00:00;1;la pate à tartiner marque MONOPRIX acheté à Monoprix beaugrenelle 75015 c'est une arnaque, mon fils est tombé malade (vomissement et maux de tete)je demande au responsable de revoir ça recette;jérome;False
2020-07-16 00:00:00;4;j y ai trouve de bons produits. magasin propre personnel aimable bon achalandage rien a redire.;Chantal;False
2020-07-14 00:00:00;1;Magasin de merdas... Obligé les gens à porter le masque, je suis allé chez carrefour.;Nathalie Aimmeur;False
2020-06-28 00:00:00;5;Les équipes sont formidables, elles gardent le sourire malgré la période du covid.Mise en-avant des créateurs de saint cloud pour relancer le commerce super initiative.;Robin;False
2020-06-28 00:00:00;1;Les stocks ne sont pas gérés en temps réel. Du coup produits manquants.Livraison le soir à 18h30 pour les courses de la semaine, je n'ai eu que des produits qui perissaient le jour même où le lendemain !!Plus jamais ! Première et dernière fois !;laetita GUYOT;False
2020-06-18 00:00:00;1;2? pour retirer un article ds le Monoprix le plus proche c est très exagéré je trouveLes retraits sont gratuits partout !!;Patti smith;False
2020-05-25 00:00:00;1;magasin rue daguere a éviter absolument  vigiles  agressives  sans raisons;Abdelkader Bounoir;False
2020-05-16 00:00:00;1;"Aucune réponse de leur ""service client"" . Ai ouvert un litige avec Paypal pour me faire rembourser la livraison non effectuée. A suivre";Vasseur JL;False
2020-05-14 00:00:00;1;Site complètement obsolète. Demande d'aide pour régler le problème et pouvoir commander. Pas de réponses et articles maintenant indisponibles. Très mauvaises expérience.;Amanda Stanislaw Jerzy;False
2020-05-09 00:00:00;1;Il est étonnant que le clavier pour payer en carte bancaire ne soit pas protégé.Visiblement, la protection des clients n'est pas une priorité... tant qu'ils payent!M.B;Anne-Sophie;False
2020-05-02 00:00:00;1;1ère commande et dernière commande au MONOPRIX Drive de Lyon Croix Rousse, erreur sur commande signalée le 9 Avril, jamais de réponse?.retour définitif chez LECLERC, qualité de service et compétitif en prix;krin;False
2020-04-30 00:00:00;3;Depuis 15 jours de plus en plus de produits en rupture et certains le sont depuis plus de trois semaines voir un mois.Je vais aller voir ailleurs;METRAL DOMINIQUE;False
